	id	name	hourly_wage	hours_worked
0	10310	Lauren Durham	19	43
1	18656	Grace Sellers	17	40
2	61254	Shirley Rasmussen	16	30
3	16886	Brian Rojas	18	47
4	89010	Samantha Mosley	11	38
5	87246	Louis Guzman	14	39
6	20578	Denise Mcclure	15	40
7	12869	James Raymond	15	32
8	53461	Noah Collier	18	35
9	14746	Donna Frederick	20	41
10	71127	Shirley Beck	14	32
11	92522	Christina Kelly	8	44
12	22447	Brian Noble	11	39
13	61654	Randy Key	16	38
14	16988	Diana Stewart	14	48
15	68619	Timothy Sosa	14	42
16	59949	Betty Skinner	11	48
17	81418	Janet Maxwell	12	38
18	27267	Madison Johnston	20	37
19	19985	Virginia Nichols	13	49
